username,password,role
Hamdy,admin123,Admin
smithjeanette,(G5Z@CfFp0,Staff
charlesjordan,_4o4axCe+H,Admin
michaeldunlap,Y&z2r1Ybez,Staff
jonathanstephens,2YM$Nwzr@l,Manager
joseph15,#XI%+*Qu4K,Manager
allisontina,)jv@ABhju0,Admin
jerrydavis,1%26Y9Hyp2,Manager
cameron16,he99xZIm$#,Staff
edwardjohnson,J6v(+Nyt%$,Admin
archersarah,P&A5Pwfvp2,Admin
omorgan,$aW&pde8N9,Staff
whood,z1@xXyG++f,Admin
glambert,#B+f6dUwLN,Manager
frankhernandez,F629cUjg$Z,Admin
johnsonsteven,0AhJSO8d$g,Admin
johnjones,@Q%zCyee7z,Admin
banksjesus,!CPYK%JSk8,Staff
fowlerdavid,E2bCJdye!3,Manager
ashleykirby,(TnJlCwB@6,Admin
kirkwilliam,@4Cnd16a93,Admin
brian45,@mL&QGJfd5,Manager
hannahhunter,X&$36FlV&Z,Staff
chavezjulie,GL@j7_qlt^,Admin
mshepherd,JVA(5KsgH6,Manager
ryan27,(RKF7SdS$7,Staff
catherinejones,B9P6@4YjEc,Admin
johnsonchristopher,aZ#n8nTx_U,Admin
mason02,$RA0TvK^UY,Staff
kimmichael,X65cI8Qn%k,Manager
stephencoffey,o(8lXV)quM,Admin
christopherholden,@1EyeEWNnH,Staff
holmescrystal,#SVDx7z@f9,Staff
daybarbara,u8S1p@gP^r,Manager
qmoore,)V0fRMvxTd,Admin
lbrown,Q&%0aSlaWb,Staff
james60,HSsq0eTqt*,Admin
bridget52,G*5LWnpe#u,Admin
ghernandez,xv4Eqf1#w@,Admin
tamaradouglas,_fBcMUy+88,Manager
westmary,@8Qq^5UdTN,Manager
dward,r%0v&WMu!$,Staff
lawrencebrett,(6pOFBGfJG,Manager
angelathompson,O%1nHohER^,Admin
frodriguez,0yKq+yjq(a,Staff
andersoncindy,55jUnqwy)x,Staff
wbraun,x6tO&S&n%1,Manager
ashley81,d7X)@IBq+b,Admin
angela89,MF2Wc6sp$x,Manager
adrienne90,#$phQIU&u8,Admin
michaelhansen,4@1l0Ohq&F,Admin
